DRG,costweight_16,cost_16,costweight_17,cost_17,costweight_18,cost_18,costweight_19,cost_19,costweight_20,cost_20,ave_charge_16,ave_charge_17,ave_charge_18,ave_charge_19,ave_charge_20,private_16,paed_16,private_17,paed_17,private_18,paed_18,private_19,paed_19,private_20,paed_20
N01A,5.98,"31,116",,,,,,,,,14330.24,17837.75,,,,0.2,1,0.18,1,0.18,1,,,,
N01B,2.95,"15,345",,,,,,,,,9157.82,9691.58,,,,0.2,1,0.18,1,0.18,1,,,,
N01Z,,,4.52,"23,372",7.17,"35,036",6.40,"32,155",5.45,"29,051",,,12991.83,12524.17,11802.72,,,,,,,0.17,1,0.14,1
N04A,3.04,"15,822",3.07,"15,856",3.57,"17,423",3.60,"18,109",3.57,"19,053",7451.86,7558.63,8035.59,8415.45,8964.98,0.14,1,0.15,1,0.15,1,0.13,1,0.11,1
N04B,2.04,"10,593",2.12,"10,938",2.39,"11,656",2.41,"12,101",2.45,"13,045",6145.15,6304.77,6637.24,6805.24,6878.44,0.2,1,0.16,1,0.16,1,0.15,1,0.14,1
N05A,2.63,"13,686",2.90,"15,002",3.05,"14,917",3.17,"15,936",3.41,"18,166",6683.5,6779.45,7103.54,7569.74,7783.58,0.19,1,0.11,1,0.12,1,0.12,1,0.11,1
N05B,1.50,"7,788",1.52,"7,878",1.72,"8,422",1.72,"8,643",1.74,"9,265",4009.79,4076.81,4302.84,4475.79,4648.45,0.2,1,0.17,1,0.16,1,0.15,1,0.16,1
N06A,2.31,"12,009",2.33,"12,056",2.79,"13,635",2.93,"14,744",2.88,"15,357",5878.62,5997.95,6275.37,6456.92,6541.88,,,0.17,1,0.22,1,0.15,1,0.18,1
N06B,1.39,"7,214",1.41,"7,291",1.63,"7,982",1.63,"8,202",1.62,"8,628",4799.99,4837.36,4930.86,4976.56,5061.7,,,0.23,1,0.21,1,0.21,1,0.19,1
N06Z,,,,,,,,,,,,,,,,0.24,1,,,,,,,,
N07A,1.18,"6,127",1.26,"6,538",1.43,"6,993",1.44,"7,244",1.49,"7,953",2698.96,2785.51,3100.97,3242.22,3439.85,0.16,1.17,0.18,1.08,0.17,1.06,0.17,1,0.16,1
N07B,0.56,"2,922",0.58,"3,024",0.70,"3,427",0.69,"3,474",0.70,"3,735",1622.43,1673.77,1688.89,1724.03,1818.14,0.27,1,0.32,1,0.35,1,0.33,1,0.26,1
N08Z,0.95,"4,937",1.01,"5,232",1.08,"5,296",1.13,"5,690",1.17,"6,268",2417.04,2470.53,2673.96,2874.77,3045.15,0.2,1.09,0.17,1.12,0.16,1.14,0.17,1.1,0.16,1.05
N09A,,,1.26,"6,495",1.35,"6,575",1.42,"7,150",1.40,"7,481",,,2191.12,2193.15,2149.42,,,,,,,0.13,1,0.11,1
N09B,,,0.54,"2,779",0.56,"2,757",0.55,"2,785",0.53,"2,802",,,1388.09,1409.51,1442.4,,,,,,,0.18,1.25,0.15,1.21
N09Z,0.60,"3,145",,,,,,,,,1312.88,1360.68,,,,0.18,1.33,0.17,1.34,0.16,1.46,,,,
N10Z,0.50,"2,614",0.53,"2,720",0.56,"2,712",0.57,"2,854",0.57,"3,063",1137.45,1179.59,1246.92,1294.02,1332.18,0.23,1,0.2,1,0.21,1,0.19,1,0.16,1
N11A,2.66,"13,831",3.14,"16,239",3.23,"15,763",3.18,"15,967",3.42,"18,237",5800.9,5405.65,6305.72,7335.85,8009.85,,,0.16,1,0.13,1,0.13,1,0.09,1
N11B,0.35,"1,824",0.37,"1,895",0.46,"2,232",0.46,"2,311",0.44,"2,346",510,535.83,771.78,795.08,838.55,,,0.12,1,0.17,1,0.15,1,0.16,1
N11Z,,,,,,,,,,,,,,,,0.09,1,,,,,,,,
N12A,5.80,"30,153",5.98,"30,931",6.39,"31,198",6.03,"30,311",6.76,"36,054",16706.37,16359.82,20966.77,19522.75,18716.72,0.18,1,0.17,1,0.17,1,0.15,1,0.13,1
N12B,3.04,"15,786",3.14,"16,234",3.36,"16,409",3.44,"17,310",3.52,"18,796",10597.14,9635.13,11067.43,11179.05,10626.49,0.18,1,0.17,1,0.18,1,0.16,1,0.15,1
N12C,2.07,"10,765",2.13,"11,034",2.38,"11,649",2.44,"12,264",2.37,"12,638",6531.54,6670.33,7179.17,7188.44,7245.18,,,0.2,1,0.21,1,0.17,1,0.19,1
N60A,2.42,"12,561",2.68,"13,865",2.94,"14,370",3.56,"17,873",3.21,"17,111",10096.26,8651.47,9506.17,9562.11,12161.67,0.09,1,0.07,1,0.06,1,0.07,1,0.1,1
N60B,0.85,"4,433",0.87,"4,520",0.99,"4,823",0.95,"4,765",1.04,"5,554",3038.93,2475.19,2821.25,2649.59,3609.24,0.1,1.43,0.07,1.57,0.06,1.42,0.07,1.39,0.1,1.8
N61A,1.08,"5,601",1.15,"5,971",1.21,"5,919",1.21,"6,086",1.22,"6,490",4089.44,2706.94,4167.98,6087.96,4203.26,,,0.09,1,0.11,1,0.12,1,0.08,1
N61B,0.52,"2,689",0.51,"2,629",0.46,"2,242",0.43,"2,154",0.45,"2,385",2235.86,1683.33,2400.72,2312.65,2729.77,,,0.1,1.78,0.11,1.88,0.08,1.7,0.1,1
N61Z,,,,,,,,,,,,,,,,0.1,1.36,,,,,,,,
N62A,0.66,"3,445",0.81,"4,198",0.65,"3,167",0.69,"3,453",0.68,"3,638",2433.19,2203.82,2440.7,2441.78,2036.93,,,0.12,1.12,0.1,1.2,0.1,1.09,0.09,1.28
N62B,0.33,"1,692",0.35,"1,800",0.27,"1,343",0.27,"1,347",0.27,"1,441",855.6,818.32,980.24,1063.09,1181.67,,,0.13,1.35,0.14,1.53,0.14,1.58,0.14,1.59
N62Z,,,,,,,,,,,,,,,,0.13,1.38,,,,,,,,
O01A,3.35,"17,427",3.44,"17,808",3.76,"18,374",3.65,"18,341",3.71,"19,787",9900.25,8501.46,10108.24,10594.53,10830.3,0.14,1,0.11,1,0.12,1,0.1,1,0.1,1
O01B,2.23,"11,594",2.35,"12,148",2.58,"12,610",2.57,"12,900",2.55,"13,611",7973.58,7856.02,8563.08,8819.8,8846.03,0.19,1,0.15,1,0.14,1,0.14,1,0.13,1
O01C,1.85,"9,598",1.91,"9,853",2.09,"10,213",2.08,"10,476",2.10,"11,195",7397.28,7506.4,7974.17,8193.56,8112.17,0.19,1,0.18,1,0.17,1,0.16,1,0.15,1
O02A,2.45,"12,733",2.54,"13,129",2.77,"13,508",2.83,"14,250",2.77,"14,755",7961.98,6422.87,8162.64,8779.23,8499.07,0.13,1,0.12,1,0.08,1,0.1,1,0.08,1
O02B,1.65,"8,569",1.70,"8,792",1.89,"9,240",1.97,"9,901",1.93,"10,307",6757.18,6249.83,7190.98,7373.75,7616.76,0.11,1,0.11,1,0.12,1,0.09,1,0.08,1
O03A,1.58,"8,193",,,,,,,,,3404.7,3156.15,,,,0.11,1,0.12,1,0.1,1,,,,
O03B,1.04,"5,388",,,,,,,,,2884.27,2741.63,,,,0.15,1,0.13,1,0.14,1,,,,
O03Z,,,1.30,"6,707",1.28,"6,241",1.29,"6,498",1.30,"6,915",,,3246.41,3295.94,3313.52,,,,,,,0.13,1,0.11,1
O04A,2.29,"11,885",2.48,"12,818",2.66,"13,003",2.59,"13,037",2.55,"13,600",4051.98,2971.06,3902.82,4611.46,5191.43,0.15,1,0.13,1,0.13,1,0.15,1,0.11,1
O04B,0.85,"4,407",0.90,"4,662",0.97,"4,739",0.95,"4,784",0.94,"5,008",1692.57,1716.16,1845.62,1862.43,1831.07,0.12,1,0.13,1,0.13,1,0.19,1,0.14,1
O04C,,,,,,,,,,,,,,,,0.16,1,,,,,,,,
O05Z,0.54,"2,795",0.56,"2,888",0.58,"2,831",0.63,"3,156",0.65,"3,494",1036.2,1053.05,1064.92,1132.33,1154.84,0.22,1,0.19,1,0.21,1,0.2,1,0.17,1
O60A,1.68,"8,736",1.76,"9,097",1.91,"9,355",1.99,"9,999",1.92,"10,230",6087.97,5489.66,6537.07,6589.33,6621.55,0.15,1,0.13,1,0.14,1,0.12,1,0.11,1
O60B,1.14,"5,927",1.18,"6,108",1.29,"6,323",1.35,"6,780",1.30,"6,960",5690.22,5372.31,6065.74,6143.34,6103.54,0.21,1,0.16,1.13,0.16,1.09,0.14,1.18,0.14,1.12
O60C,0.82,"4,289",0.87,"4,515",0.95,"4,649",0.99,"4,986",0.95,"5,047",5428.12,5047.23,5805.95,5864.08,5766.16,0.2,1.05,0.17,1,0.16,1.06,0.15,1.14,0.15,1
O61A,1.41,"7,330",1.22,"6,329",1.33,"6,483",1.28,"6,417",1.26,"6,699",3432,2935.7,3403.93,2625.73,2410.57,,,0.08,1,0.08,1,0.08,1,0.05,1
O61B,0.55,"2,845",0.57,"2,947",0.57,"2,772",0.57,"2,876",0.57,"3,033",2244.74,2015.31,2601.99,2572.47,2382.11,,,0.09,1,0.09,1,0.07,1,0.09,1
O61Z,,,,,,,,,,,,,,,,0.08,1,,,,,,,,
O63A,0.66,"3,419",0.82,"4,261",0.70,"3,404",0.66,"3,300",0.74,"3,973",1209,895.67,1261.69,1416.88,1139.04,,,0.18,1,0.15,1,0.16,1,0.14,1
O63B,0.30,"1,575",0.33,"1,701",0.25,"1,211",0.25,"1,255",0.26,"1,375",816.43,447.81,985.07,1001.21,1101.51,,,0.11,1,0.21,1,0.16,1,0.14,1
O63Z,,,,,,,,,,,,,,,,0.17,1,,,,,,,,
O66A,0.65,"3,397",0.81,"4,209",0.87,"4,235",0.82,"4,112",0.80,"4,250",2079.39,1731.66,2687.28,2882.27,3205.54,0.05,1,0.06,1,0.07,1,0.06,1,0.07,1
O66B,0.21,"1,097",0.30,"1,533",0.38,"1,872",0.38,"1,913",0.37,"2,000",889.43,727.34,1075.19,1091.16,1586.93,0.07,1,0.07,1.43,0.09,1.54,0.09,1.69,0.08,1.42
O66C,,,0.16,832,0.20,984,0.19,972,0.20,"1,051",,,925.68,1160.7,886.64,0.12,1,,,,,0.15,1,0.11,1.16
P01Z,2.06,"10,705",1.74,"9,003",2.07,"10,116",2.86,"14,368",2.26,"12,076",,0,,,,0.11,1,0.12,1,0.13,1,0.1,1,0.11,1
P02Z,27.78,"144,443",30.11,"155,682",34.34,"167,764",34.23,"172,102",39.61,"211,318",,,,,,0.11,1,0.12,1,0.18,1,0.1,1,0.14,1
P03A,25.74,"133,804",27.46,"142,002",29.49,"144,071",31.43,"157,996",31.91,"170,245",,,,131018.86,,0.09,1,0.11,1,0.11,1,0.1,1,0.12,1
P03B,15.09,"78,449",15.53,"80,286",17.53,"85,664",18.05,"90,726",18.28,"97,513",34190.2,25210.02,45499.55,48990.29,52731.02,0.07,1,0.08,1,0.11,1,0.09,1,0.09,1
P04A,23.53,"122,338",24.72,"127,845",26.12,"127,621",27.37,"137,583",25.05,"133,641",,,,,,0.1,1,0.09,1,0.12,1,0.12,1,0.11,1
P04B,10.24,"53,233",10.00,"51,706",11.22,"54,821",12.17,"61,190",12.52,"66,790",28189.69,20417.94,32756.53,42837.56,45230.95,0.1,1,0.1,1,0.11,1,0.1,1,0.11,1
P05A,25.46,"132,343",25.52,"131,997",27.51,"134,379",26.90,"135,245",30.27,"161,510",,,,,,0.11,1,0.15,1,0.14,1,0.12,1,0.1,1
P05B,8.46,"43,978",8.29,"42,891",8.40,"41,017",9.17,"46,113",8.49,"45,300",25862.81,10036.04,,25571.08,25468.13,0.11,1,0.15,1,0.14,1,0.12,1,0.1,1
P06A,17.30,"89,962",18.14,"93,812",21.77,"106,350",21.55,"108,324",23.82,"127,086",,,,,,0.13,1,0.11,1,0.15,1,0.09,1,0.1,1
P06B,6.03,"31,334",5.98,"30,906",6.70,"32,744",6.84,"34,366",6.69,"35,688",13730.69,9599.29,13061.8,14857.98,10060.71,0.11,1,0.1,1,0.15,1,0.1,1,0.12,1
P07Z,57.24,"297,567",64.22,"332,075",57.37,"280,258",70.32,"353,545",59.57,"317,776",,,,,,0.11,1,0.12,1,0.13,1,0.1,1,0.11,1
P08Z,39.82,"207,041",47.17,"243,955",54.57,"266,614",49.40,"248,346",59.44,"317,088",,,55087.55,,,0.11,1,0.12,1,0.13,1,0.1,1,0.11,1
P60A,1.16,"6,028",1.24,"6,422",1.47,"7,173",1.50,"7,523",1.52,"8,126",1941.71,846.71,3043.87,3558.33,2140.16,0.13,1,0.18,1,0.15,1,0.13,1,0.09,1
P60B,0.69,"3,591",0.74,"3,848",0.85,"4,141",0.87,"4,355",0.86,"4,600",773.36,738.28,1717.94,1860.65,1542.36,0.13,1,0.12,1,0.15,1,0.11,1,0.13,1
P61Z,36.23,"188,383",40.51,"209,485",41.46,"202,532",45.53,"228,916",44.52,"237,493",,,,,,0.09,1,0.09,1,0.09,1,0.09,1,0.09,1
P62A,34.04,"176,983",33.41,"172,762",40.04,"195,610",42.77,"215,016",42.86,"228,660",,,,,,,,0.08,1,0.1,1,0.09,1,0.11,1
P62B,20.15,"104,757",12.41,"64,163",24.70,"120,674",25.59,"128,638",26.66,"142,220",,29947.57,,,,,,0.08,1,0.1,1,0.08,1,0.11,1
P62Z,,,,,,,,,,,,,,,,0.06,1,,,,,,,,
P63A,10.98,"57,095",13.71,"70,884",12.67,"61,920",12.19,"61,285",13.40,"71,466",,,,,,0.09,1,0.08,1,0.05,1,0.09,1,0.09,1
P63B,4.53,"23,533",4.78,"24,740",4.26,"20,793",2.94,"14,764",3.26,"17,392",8649.53,9699.76,11072.54,9804.32,15763.08,0.09,1,0.08,1,0.05,1,0.09,1,0.09,1
P64A,10.33,"53,700",10.90,"56,373",11.34,"55,412",10.85,"54,552",11.33,"60,462",34050.8,15172.79,39032.24,,30908.76,0.09,1,0.08,1,0.06,1,0.09,1,0.1,1
P64B,6.64,"34,499",6.84,"35,359",6.87,"33,580",7.43,"37,351",7.39,"39,433",18064.29,19596.42,22068.76,23944.19,25030.56,0.04,1,0.08,1,0.08,1,0.09,1,0.12,1
P65A,8.17,"42,469",8.55,"44,208",10.20,"49,838",10.77,"54,166",10.80,"57,614",27475.55,14024.48,25916.2,32105.23,25182.97,0.12,1,0.06,1,0.06,1,0.05,1,0.05,1
P65B,6.20,"32,256",6.34,"32,792",8.04,"39,282",8.47,"42,592",8.40,"44,806",17106.26,15847.67,19242.18,21429.16,24051.23,0.09,1,0.06,1,0.09,1,0.09,1,0.07,1
P65C,4.88,"25,368",4.86,"25,125",6.43,"31,424",6.38,"32,057",6.88,"36,729",13851.71,13598.04,15473.56,16770.06,19580.19,0.11,1,0.08,1,0.07,1,0.09,1,0.06,1
P65D,3.86,"20,090",3.78,"19,568",4.83,"23,598",5.01,"25,211",5.04,"26,876",11793.41,11858.01,12663.75,13123.64,15958.06,0.06,1,0.07,1,0.07,1,0.08,1,0.06,1
P66A,5.54,"28,780",5.49,"28,406",5.97,"29,169",6.26,"31,472",6.26,"33,414",11725.47,9512.89,14114.81,16727.21,14967.64,0.1,1,0.09,1,0.08,1,0.06,1,0.07,1
P66B,3.72,"19,331",3.84,"19,842",3.75,"18,324",3.76,"18,925",3.93,"20,977",10539.29,9619.48,11851.2,12022.65,10832.1,0.11,1,0.06,1,0.1,1,0.08,1,0.11,1
P66C,2.54,"13,226",2.49,"12,893",2.61,"12,743",2.52,"12,667",2.62,"13,977",7243.38,7170.42,8137.04,8755.74,8403.32,0.09,1,0.08,1,0.08,1,0.08,1,0.08,1
P66D,1.28,"6,650",1.24,"6,423",1.32,"6,455",1.42,"7,158",1.47,"7,848",2916.76,2912.63,4790.13,5043.06,4470.13,0.07,1,0.1,1,0.11,1,0.05,1,0.14,1
P67A,4.24,"22,035",4.67,"24,162",5.45,"26,646",5.58,"28,042",5.84,"31,136",9379.68,6911.26,9351.55,12752.12,10568.23,0.08,1,0.09,1,0.06,1,0.09,1,0.09,1
P67B,2.68,"13,959",2.84,"14,676",3.32,"16,206",3.40,"17,109",3.50,"18,690",6347.54,6011.9,7730.48,8063.61,8800.19,0.11,1,0.09,1,0.1,1,0.06,1,0.06,1
P67C,2.13,"11,091",2.26,"11,703",2.93,"14,295",2.73,"13,701",2.79,"14,871",5177.31,4773.43,6058.45,7115.25,7221.68,0.05,1,0.12,1,0.06,1,0.09,1,0.11,1
P67D,1.55,"8,038",1.51,"7,817",1.87,"9,132",1.75,"8,800",1.85,"9,884",2950.01,2989.98,4822.29,4938.42,5219.93,0.08,1,0.06,1,0.06,1,0.05,1,0.12,1
P68A,2.93,"15,241",3.04,"15,720",3.21,"15,691",3.22,"16,198",3.34,"17,825",5261.75,2777.72,5686.09,6699.18,6573.07,0.1,1,0.11,1,0.13,1,0.12,1,0.1,1
P68B,1.50,"7,811",1.52,"7,858",1.60,"7,823",1.51,"7,613",1.60,"8,520",2209.57,1965.39,3979.75,4454.58,3491.86,0.13,1,0.1,1,0.09,1,0.11,1,0.09,1
P68C,1.09,"5,685",1.08,"5,562",1.10,"5,352",1.07,"5,387",1.14,"6,083",1883.98,1783.87,3053.79,3147.88,2627.3,0.1,1,0.11,1,0.1,1,0.12,1,0.09,1
P68D,0.78,"4,060",0.78,"4,016",0.74,"3,635",0.75,"3,746",0.78,"4,179",219.78,226.58,2300.72,2361.36,2305.4,0.1,1,0.11,1,0.09,1,0.11,1,0.09,1
Q01A,7.65,"39,788",,,,,,,,,,22189.2,,,,0.15,1,0.14,1,0.13,1,,,,
Q01B,3.67,"19,083",,,,,,,,,10992.5,11620.16,,,,0.15,1,0.14,1,0.13,1,,,,
Q01Z,,,5.14,"26,602",5.26,"25,714",5.22,"26,254",5.78,"30,836",,,13344.42,11814.22,14843.86,,,,,,,0.15,1,0.14,1
Q02A,5.33,"27,697",5.64,"29,143",7.57,"36,974",5.79,"29,127",8.48,"45,243",15756.68,17310.61,12524.7,14032.05,15763.81,0.13,1.46,0.12,1.23,0.11,1.39,0.13,1.34,0.13,1.37
Q02B,1.10,"5,697",0.94,"4,838",1.16,"5,677",1.18,"5,925",1.21,"6,438",3198.01,3425.98,3052.45,3325.05,3857.6,0.18,1.09,0.2,1,0.21,1.09,0.19,1.13,0.19,1.19
Q60A,1.84,"9,571",1.93,"9,962",2.00,"9,748",1.96,"9,864",1.95,"10,392",3335.39,3356.36,3835.3,4277,4497.57,0.09,1.32,0.09,1.43,0.1,1.44,0.09,1.4,0.09,1.51
Q60B,0.33,"1,740",0.34,"1,747",0.38,"1,868",0.41,"2,039",0.38,"2,053",614.31,620.53,663.83,663.17,687.67,0.13,1.25,0.13,1.7,0.14,1.96,0.12,1.53,0.13,1.8
Q60C,,,,,,,,,,,,,,,,0.11,1.48,,,,,,,,
Q61A,1.15,"5,961",1.06,"5,471",1.33,"6,491",1.35,"6,762",1.37,"7,297",3472.27,3530.83,2773.21,2792.25,4275.29,0.14,1.96,0.12,1.42,0.14,1.5,0.14,1.35,0.14,1.3
Q61B,0.32,"1,679",0.31,"1,607",0.48,"2,352",0.50,"2,495",0.49,"2,617",852.67,858.78,864.61,895.78,1462.3,0.17,1.82,0.17,1.44,0.18,1.82,0.18,1.66,0.15,1.73
Q61C,0.07,376,0.09,459,0.22,"1,078",0.23,"1,148",0.23,"1,203",457.56,485.74,489.39,516.87,816.12,0.13,1.24,0.25,1,0.24,1,0.27,1,0.32,1
Q62A,1.82,"9,469",2.01,"10,390",2.68,"13,094",2.33,"11,725",2.30,"12,263",4602.68,4237.78,5504.06,4410.52,5990.36,0.13,0.92,0.11,1,0.13,1,0.14,0.87,0.13,1
Q62B,0.48,"2,476",0.51,"2,635",0.52,"2,524",0.50,"2,507",0.46,"2,477",1158.73,1247.83,1428.49,1372.22,1458.57,0.1,1,0.1,1.12,0.13,1.33,0.13,1.18,0.11,1.3
R01A,9.89,"51,411",10.05,"51,946",15.42,"75,310",15.04,"75,631",12.98,"69,223",23978.09,23253.98,25429.46,23822.29,35395.43,0.19,1,0.19,1,0.15,1,0.15,1,0.16,1
R01B,2.21,"11,504",2.12,"10,950",3.71,"18,119",3.82,"19,210",3.87,"20,621",6600.74,8111.59,8482.17,8840.39,12335.33,0.19,1,0.19,1,0.2,1,0.23,1,0.25,1
R02A,7.11,"36,948",8.43,"43,604",8.41,"41,090",8.90,"44,730",10.19,"54,355",19609.93,16783.9,25729.28,21522.82,23457.42,0.18,1,0.15,1,0.15,1,0.18,1,0.14,1
R02B,3.89,"20,222",4.07,"21,066",4.67,"22,814",4.70,"23,644",4.88,"26,058",9658.93,10843.85,11559.09,11705.47,12213.26,0.19,1,0.15,1,0.19,1,0.18,1,0.14,1
R02C,2.17,"11,256",2.26,"11,692",2.48,"12,128",2.41,"12,098",2.44,"13,028",6704.34,7073.34,7336.4,7945.34,7689.62,0.22,1,0.16,1,0.19,1,0.2,1,0.19,1
R03A,9.88,"51,367",14.40,"74,446",13.21,"64,543",14.42,"72,505",13.40,"71,512",25439.52,25423.7,30622.54,32872.09,28656.31,0.12,1.72,0.13,1,0.12,1,0.16,1,0.13,1
R03B,3.35,"17,431",4.78,"24,721",4.80,"23,452",4.11,"20,676",4.63,"24,685",10344.99,11659.83,15323.56,13878.32,15843.12,0.16,1.73,0.12,1,0.17,1,0.14,1.08,0.15,1
R03C,1.08,"5,631",1.27,"6,592",1.68,"8,195",1.61,"8,084",1.55,"8,281",2879.16,2951.98,3679.46,4002.04,4236.59,0.29,1,0.24,1.36,0.25,1.43,0.26,1.58,0.2,1.62
R04A,3.50,"18,193",3.75,"19,386",4.56,"22,281",4.57,"22,992",4.52,"24,106",6202.14,6890.55,8746.06,8419.29,8783.93,0.17,1,0.14,1,0.22,1,0.16,1,0.15,1
R04B,1.10,"5,740",1.10,"5,669",1.28,"6,263",1.32,"6,639",1.37,"7,311",3348.04,3275.7,3259.94,3251.15,3704.23,0.21,1,0.19,1,0.21,0.94,0.17,1,0.15,1
R05A,,,38.91,"201,226",35.93,"175,555",31.13,"156,519",31.14,"166,106",,,,,,,,,,,,0.08,1.7,0.07,1.69
R05B,,,12.84,"66,421",12.41,"60,643",11.91,"59,896",11.22,"59,870",,,,,,,,,,,,0.06,1,0.07,1
R06A,,,11.62,"60,088",15.18,"74,177",15.50,"77,917",15.23,"81,242",,,35486.52,37348.91,31963.92,,,,,,,0.08,2,0.08,2
R06B,,,4.59,"23,740",8.17,"39,919",7.79,"39,143",7.66,"40,877",,,15235.82,19895.73,28406.77,,,,,,,0.09,1,0.08,1
R06C,,,,,4.55,"22,251",3.96,"19,886",4.26,"22,730",,,,,24577.51,,,,,,,,,,
R60A,6.91,"35,942",8.05,"41,619",9.69,"47,350",9.19,"46,184",9.37,"49,983",16631.15,18625.12,21602.92,23038.17,21723.79,0.1,1.24,0.09,1.18,0.1,1.2,0.09,1.17,0.09,1.21
R60B,0.65,"3,358",1.25,"6,484",1.78,"8,713",1.67,"8,420",1.62,"8,664",1469.6,1692.46,6180.82,6364.69,6577.05,0.1,1.1,0.1,1.41,0.11,1.19,0.11,1,0.11,1.09
R60C,,,0.49,"2,550",0.54,"2,661",0.54,"2,717",0.58,"3,106",,,1320.53,1369.57,1484.19,0.14,1.78,,,,,0.14,1.6,0.17,1.73
R61A,3.00,"15,604",3.81,"19,708",4.41,"21,546",4.35,"21,875",4.44,"23,699",6770.48,6998.16,8696.33,9361.3,10633.32,0.11,1.16,0.1,1.47,0.11,1.43,0.1,1.49,0.1,1.58
R61B,0.46,"2,369",0.83,"4,290",1.08,"5,265",1.02,"5,122",0.99,"5,275",1082.34,1111.5,2078.81,2173.86,2387.54,0.09,1.31,0.13,1.73,0.13,1.67,0.11,1.6,0.11,1.67
R61C,,,0.34,"1,770",0.37,"1,830",0.40,"2,028",0.41,"2,161",,,867.1,818.49,931.25,0.13,1.66,,,,,0.16,2,0.13,2
R62A,2.09,"10,881",3.08,"15,920",3.34,"16,303",3.14,"15,806",3.02,"16,125",6532.4,6548.68,9588.13,10886.79,11954.61,0.09,1.61,0.07,0.84,0.09,1,0.09,0.88,0.1,1
R62B,0.96,"4,997",1.22,"6,333",1.50,"7,315",1.37,"6,894",1.39,"7,413",2774.91,2657.77,3904.51,4184.63,4821.46,0.06,1,0.08,0.82,0.1,1,0.06,0.95,0.06,0.82
R62C,0.57,"2,989",0.64,"3,301",0.67,"3,291",0.56,"2,831",0.55,"2,918",1798.28,1900.89,1783.36,1579.08,2045.42,,,0.09,1.06,0.11,1.52,0.11,1.42,0.1,1.48
R63Z,0.33,"1,694",0.34,"1,749",0.36,"1,765",0.41,"2,041",0.40,"2,126",543.33,579.08,627.76,674.42,705.67,0.06,1.24,0.09,1,0.08,1.22,0.09,1,0.1,1
S65A,8.45,"43,954",,,,,,,,,,,,,,0.09,1,0.07,1,0.1,1,,,,
S65B,2.25,"11,688",,,,,,,,,,1927.93,,,,0.09,1,0.07,1,0.1,1,,,,
S65C,0.70,"3,623",,,,,,,,,,0,,,,0.09,1,0.07,1,0.13,1,,,,
S65D,,,,,,,,,,,,,,,,0.09,1,,,,,,,,
T01A,10.00,"52,015",10.68,"55,232",14.02,"68,482",14.13,"71,048",13.37,"71,323",29073.43,28351.5,31214.95,31171.62,32616.83,0.12,1.55,0.13,1.19,0.12,1.27,0.11,1.27,0.11,1.47
T01B,4.06,"21,125",4.28,"22,121",6.83,"33,344",6.43,"32,329",6.33,"33,752",14022.01,14484.87,15906.44,15497.95,22934.89,0.11,1,0.11,1.08,0.11,1.06,0.12,1.07,0.11,1.06
T01C,2.33,"12,128",2.36,"12,199",3.03,"14,781",2.96,"14,863",2.90,"15,463",7755.71,8227.37,8899.75,8498.05,10365.34,0.12,1.15,0.12,1.1,0.11,1,0.13,1,0.13,1
T40Z,7.81,"40,594",8.38,"43,317",8.50,"41,541",9.57,"48,130",9.44,"50,375",27408.76,20437.92,30516.77,26152.63,26443.94,0.12,1,0.11,1,0.13,1,0.11,1,0.1,1
T60A,4.84,"25,151",4.79,"24,751",5.50,"26,884",5.54,"27,828",5.44,"29,040",13673.68,14311.91,16116.3,15664.17,16176.3,0.12,1.62,0.1,1.08,0.13,1.1,0.11,1.15,0.11,1.33
T60B,2.42,"12,574",2.26,"11,669",2.58,"12,609",2.59,"13,010",2.68,"14,306",9245.67,9329.08,9606.61,9926.17,10696.88,0.12,1.4,0.12,1,0.13,1,0.11,1.1,0.11,1.15
T60C,1.36,"7,089",1.27,"6,559",1.29,"6,287",1.30,"6,516",1.36,"7,240",5207.42,5949.01,6430.47,6467.51,6858.2,,,0.11,1.06,0.12,1.18,0.12,1.15,0.12,1.24
T61A,1.74,"9,024",1.80,"9,308",1.87,"9,129",1.82,"9,154",1.93,"10,302",7067.38,6658.26,7269.33,7565.85,7687.56,0.1,1,0.1,1.31,0.09,1.2,0.08,1.21,0.09,1.18
T61B,0.81,"4,200",0.82,"4,221",0.78,"3,824",0.77,"3,895",0.80,"4,286",3791.19,3750.88,3911.54,3986.52,4059.01,0.09,1.22,0.09,1.45,0.1,1.48,0.08,1.46,0.09,1.46
T62A,1.76,"9,140",1.93,"9,986",1.82,"8,915",1.84,"9,245",1.92,"10,233",5841.63,5452.44,6362.58,6357.28,6837.46,0.13,1.1,0.11,1,0.11,1.15,0.12,1.15,0.11,1.12
T62B,0.66,"3,443",0.68,"3,503",0.59,"2,867",0.57,"2,854",0.67,"3,580",2807.76,2785.56,3033.53,3178.28,3491.52,0.15,1,0.12,1,0.13,1,0.12,0.92,0.12,0.95
T63A,1.31,"6,793",1.51,"7,794",1.45,"7,107",1.37,"6,896",1.47,"7,838",4610.85,4439.71,5340.4,5063.52,5636.75,0.12,1,0.09,1.15,0.11,1.2,0.09,1.22,0.09,1.12
T63B,0.45,"2,360",0.46,"2,375",0.36,"1,744",0.33,"1,678",0.40,"2,113",2380.92,2346.73,2661.61,2497.12,2893.8,0.12,1,0.1,1,0.1,1.08,0.1,1.17,0.1,1
