DRG,costweight_16,cost_16,costweight_17,cost_17,costweight_18,cost_18,costweight_19,cost_19,costweight_20,cost_20,ave_charge_16,ave_charge_17,ave_charge_18,ave_charge_19,ave_charge_20,private_16,paed_16,private_17,paed_17,private_18,paed_18,private_19,paed_19,private_20,paed_20
K05B,1.41,"7,351",1.48,"7,644",1.53,"7,467",1.51,"7,591",1.59,"8,473",4043.48,4111.42,4378.77,4511.82,4499.84,0.26,1,0.3,1,0.29,1,0.28,1,0.31,1
K06A,3.22,"16,761",3.57,"18,436",3.88,"18,958",4.15,"20,857",4.53,"24,154",6618.62,6500.75,6901.32,7814.14,8316.85,0.23,1,0.2,1,0.2,1,0.19,1,0.17,1
K06B,1.74,"9,056",1.84,"9,520",2.07,"10,096",2.06,"10,361",2.18,"11,649",4824.74,4928.65,5203.74,5443.8,5478.91,0.22,1,0.23,1,0.22,1,0.19,1.11,0.18,1
K08Z,1.32,"6,865",1.32,"6,848",1.55,"7,570",1.54,"7,762",1.66,"8,851",2997.26,3224.23,3359.06,3652.13,3502.69,0.19,0.84,0.16,0.83,0.17,0.88,0.15,0.9,0.15,0.95
K09A,6.46,"33,611",7.46,"38,592",7.45,"36,410",6.33,"31,828",6.83,"36,448",16355.9,16730.24,21925.42,17987.62,15422.85,0.16,1,0.13,1,0.17,1,0.12,1,0.14,1.21
K09B,2.53,"13,139",2.62,"13,561",2.50,"12,229",2.64,"13,277",2.80,"14,946",10150.42,10632.8,10759.61,10571.27,10895.21,0.16,1,0.13,1,0.25,0.92,0.12,1,0.19,1
K09C,,,,,,,,,,,,,,,,0.16,1.34,,,,,,,,
K10A,5.10,"26,519",,,,,,,,,12809.22,13703.37,,,,0.19,1,0.16,1,0.17,1,,,,
K10B,2.62,"13,612",,,,,,,,,10808,10877.25,,,,0.19,1,0.16,1,0.17,1,,,,
K10Z,,,3.81,"19,691",4.38,"21,377",4.46,"22,422",3.32,"17,692",,,11758.24,11545.29,11987.12,,,,,,,0.15,1,0.15,1
K11A,2.61,"13,563",,,3.20,"15,657",3.58,"17,978",3.54,"18,883",10952.69,11270.78,,,12430.35,0.33,1,0.16,1,0.47,1,,,,
K11B,1.93,"10,014",,,2.34,"11,420",2.41,"12,107",2.46,"13,125",9848.18,10056.13,,,10791.3,0.33,1,0.16,1,0.47,1,,,,
K11Z,,,2.39,"12,377",,,,,,,,,10755.2,10840.17,,,,,,,,0.45,1,0.32,1
K12A,1.63,"8,487",,,,,,,,,7360.06,7304.39,,,,,,0.16,1,0.17,1,,,,
K12B,1.38,"7,166",,,,,,,,,7239.36,6866.05,,,,,,0.16,1,0.17,1,,,,
K12Z,,,1.85,"9,567",2.24,"10,945",1.91,"9,590",2.39,"12,737",,,7125.5,6923.4,6699.94,0.33,1,,,,,0.15,1,0.15,1
